failure_type,n_runs,spike_detect_rate,median_spike_lag_s,sust_detect_rate,median_sust_lag_s,median_false_alarms_spm,median_post_elev_frac
aileron_failure,6,0.5,10.599999999999994,0.5,0.0,1.6430878241588738,0.30656424581005587
elevator_failure,2,0.5,9.700000000000003,0.5,2.5,2.186456852710119,0.38095238095238093
engine_failure,23,0.4782608695652174,9.599999999999994,0.391304347826087,2.299999999999983,1.836734693877551,0.0
multi_fault,2,1.0,11.199999999999996,1.0,5.350000000000001,1.3460786700005163,0.5248263888888889
rudder_failure,3,1.0,2.6999999999999957,0.0,,2.0,0.11827956989247312
